y,deg3,deg2,deg1
0.00601,0.0681743,0.0748464,0.0683479
0.00602,0.0680946,0.0747234,0.0682877
0.00603,0.0680152,0.0746007,0.0682277
0.00604,0.0679361,0.0744782,0.0681678
0.00605,0.0678575,0.0743561,0.0681081
0.00606,0.0677792,0.0742343,0.0680484
0.00607,0.0677013,0.0741128,0.0679889
0.00608,0.0676237,0.0739917,0.0679294
0.00609,0.0675465,0.0738708,0.0678701
0.0061,0.0674697,0.0737503,0.067811
0.00611,0.0673933,0.0736301,0.0677519
0.00612,0.0673172,0.0735103,0.067693
0.00613,0.0672415,0.0733908,0.0676341
0.00614,0.0671622,0.0732729,0.0675719
0.00615,0.0670826,0.0731557,0.0675082
0.00616,0.0670033,0.0730388,0.0674445
0.00617,0.0669243,0.0729222,0.067381
0.00618,0.0668457,0.0728059,0.0673176
0.00619,0.0667673,0.0726898,0.0672543
0.0062,0.0666892,0.0725739,0.067191
0.00621,0.0666115,0.0724584,0.0671279
0.00622,0.0665341,0.0723431,0.0670649
0.00623,0.066457,0.0722281,0.067002
0.00624,0.0663802,0.0721134,0.0669392
0.00625,0.0663037,0.0719989,0.0668765
0.00626,0.0662275,0.0718847,0.0668139
0.00627,0.0661499,0.0717718,0.0667501
0.00628,0.0660711,0.0716604,0.0666841
0.00629,0.0659926,0.0715492,0.0666181
0.0063,0.0659143,0.0714382,0.0665522
0.00631,0.0658363,0.0713275,0.0664864
0.00632,0.0657585,0.071217,0.0664207
0.00633,0.065681,0.0711067,0.066355
0.00634,0.0656038,0.0709966,0.0662895
0.00635,0.0655269,0.0708868,0.066224
0.00636,0.0654502,0.0707772,0.0661587
0.00637,0.0653738,0.0706679,0.0660934
0.00638,0.0652976,0.0705587,0.0660283
0.00639,0.0652217,0.0704499,0.0659632
0.0064,0.0651457,0.0703415,0.0658981
0.00641,0.0650686,0.0702356,0.0658311
0.00642,0.0649916,0.07013,0.0657641
0.00643,0.0649149,0.0700245,0.0656972
0.00644,0.0648384,0.0699192,0.0656303
0.00645,0.0647621,0.0698142,0.0655636
0.00646,0.0646861,0.0697093,0.0654969
0.00647,0.0646103,0.0696046,0.0654303
0.00648,0.0645347,0.0695001,0.0653638
0.00649,0.0644593,0.0693958,0.0652973
0.0065,0.0643842,0.0692918,0.065231
0.00651,0.0643093,0.0691879,0.0651647
0.00652,0.0642346,0.0690842,0.0650985
0.00653,0.0641602,0.0689807,0.0650324
0.00654,0.0640856,0.0688796,0.0649658
0.00655,0.0640111,0.0687793,0.064899
0.00656,0.0639368,0.0686792,0.0648322
0.00657,0.0638627,0.0685792,0.0647655
0.00658,0.0637888,0.0684794,0.0646989
0.00659,0.0637151,0.0683798,0.0646324
